row	seed	threads	draw	outcome	moves	passes	time	fringe	closed	mvtree
6917	6917	16	3	0	91	3	0.08741	301481	583347	256681
6918	6918	16	3	0	103	3	0.4537	835126	2626456	1236246
6919	6919	16	3	0	99	3	1.766	3472442	10252971	5261265
6920	6920	16	3	0	96	3	0.4601	726977	2649631	1470774
6921	6921	16	3	0	102	4	0.08859	184694	510874	275000
6922	6922	16	3	0	104	3	0.6918	1170626	4022256	2116116
6923	6923	16	3	0	92	3	0.4285	1062215	2730644	1289347
6924	6924	16	3	0	109	5	0.06394	131922	338438	166453
6925	6925	16	3	0	105	4	0.1223	379243	830523	388710
6926	6926	16	3	0	91	2	0.04712	91662	186028	84903
6927	6927	16	3	2			0.04783	0	89303	54673
6928	6928	16	3	0	102	3	0.04783	37937	98424	56022
6929	6929	16	3	0	98	3	0.1321	274897	777917	412482
6930	6930	16	3	0	101	4	0.05525	96918	279726	137405
6931	6931	16	3	0	87	2	0.7892	3879745	6644096	2433040
6932	6932	16	3	0	92	2	0.04714	134342	242010	101445
6933	6933	16	3	0	101	4	2.77	3348790	12654291	7176419
6934	6934	16	3	0	101	3	1.042	2302877	6169380	3219452
6935	6935	16	3	0	93	3	0.2361	513708	1380941	640983
6936	6936	16	3	0	92	2	0.1762	397480	910436	436638
6937	6937	16	3	0	97	3	0.04769	32086	49774	16847
6938	6938	16	3	0	109	4	0.1877	328467	863265	463228
6939	6939	16	3	0	100	4	3.112	7680166	18062324	9031668
6940	6940	16	3	0	98	3	0.7287	2917584	5830673	2542637
6941	6941	16	3	0	100	4	0.0588	139599	326949	155511
6942	6942	16	3	0	96	3	1.071	1950400	6345319	3100055
6943	6943	16	3	0	106	4	0.1736	235358	937667	479839
6944	6944	16	3	0	93	3	0.3283	1178966	2361095	1025104
6945	6945	16	3	0	90	2	0.1662	520524	1122233	498896
6946	6946	16	3	0	99	4	0.5912	1729386	3957351	1835369
6947	6947	16	3	0	113	5	0.09352	42744	406936	233437
6948	6948	16	3	0	96	3	0.1759	805138	1382727	528495
6949	6949	16	3	0	102	4	0.04733	21204	88845	48066
6950	6950	16	3	2			0.04846	0	7	3
6951	6951	16	3	0	97	2	0.2982	326131	1518549	847683
6952	6952	16	3	0	108	3	0.04702	21432	76668	43542
6953	6953	16	3	0	94	2	1.123	5711530	9309885	3422727
6954	6954	16	3	0	94	3	1.801	5522574	12090512	5485710
6955	6955	16	3	0	94	2	1.403	2666130	7928750	4028118
6956	6956	16	3	0	98	3	6.396	11469078	31821702	15680439
6957	6957	16	3	2			0.05052	0	2564	1367
6958	6958	16	3	0	98	3	0.1585	492779	1111481	538079
6959	6959	16	3	0	94	2	0.5503	1740324	3775644	1723830
6960	6960	16	3	0	95	4	0.1288	272628	713435	324849
6961	6961	16	3	0	86	2	0.4805	2465363	4108536	1534029
6962	6962	16	3	0	100	3	0.04894	112839	270760	132762
